
,,Sales Person,Geography,Product,Date,Sales,Boxes
,,Husein Augar,USA  ,Raspberry Choco,03/10/2023,6657.75,222
,,Curtice Advani,New Zealand ,85% Dark Bars,10/19/2023,5202,454
,,Mallorie Waber,UK ,Raspberry Choco,02/02/2023,1545.75,213
,,Rafaelita Blaksland,UK  ,Raspberry Choco,08/22/2023,1496.25,211
,,Madelene Upcott,Australia,Organic Choco Syrup,01/22/2024,1383.75,369
,,Kelci Walkden,UK ,Caramel Stuffed Bars,04/04/2023,711,930
,,Oby Sorrel,India,Manuka Honey Choco,11/23/2023,3327.75,142
,,Jehu Rudeforth,New Zealand,Milk Bars,11/30/2023,2535.75,151
,,Ches Bonnell,New Zealand ,White Choc,08/08/2023,6943.5,58
,,Camilla Castle,UK  ,Almond Choco,03/20/2023,13776.75,106
,,Barr Faughny,Australia  ,Eclairs,06/28/2023,5580,295
,,Husein Augar,USA   ,Drinking Coco,03/22/2023,4925.25,527
,,Oby Sorrel,New Zealand  ,50% Dark Bites,03/16/2023,5384.25,242
,,Karlen McCaffrey,UK  ,Choco Coated Almonds,01/01/2024,3215.25,496
,,Barr Faughny,India,Manuka Honey Choco,03/29/2023,4641.75,12
,,Oby Sorrel,New Zealand,Baker's Choco Chips,02/21/2024,5789.25,56
,,Ches Bonnell,Canada ,Almond Choco,07/12/2023,1147.5,30
,,Camilla Castle,USA   ,Choco Coated Almonds,02/02/2023,5496.75,65
,,Wilone O'Kielt,Australia   ,Caramel Stuffed Bars,02/06/2024,717.75,527
,,Ches Bonnell,New Zealand ,Manuka Honey Choco,05/17/2023,157.5,419
,,Dotty Strutley,Canada ,50% Dark Bites,10/19/2023,10539,837
,,Jan Morforth,Australia   ,Eclairs,07/07/2023,4918.5,207
,,Andria Kimpton,UK ,Mint Chip Choco,05/04/2023,4126.5,470
,,Oby Sorrel,Australia,Smooth Silky Salty,05/23/2023,1728,277
,,Rafaelita Blaksland,Canada  ,Spicy Special Slims,03/28/2023,12584.25,144
,,Barr Faughny,Canada   ,Mint Chip Choco,07/05/2023,182.25,72
,,Kaine Padly,USA ,Mint Chip Choco,06/23/2023,1588.5,166
,,Kaine Padly,USA ,Baker's Choco Chips,01/05/2024,8050.5,125
,,Wilone O'Kielt,India   ,Mint Chip Choco,04/14/2023,416.25,318
,,Kaine Padly,Australia  ,White Choc,05/25/2023,10131.75,54
,,Brien Boise,New Zealand ,Raspberry Choco,09/15/2023,2936.25,307
,,Husein Augar,UK ,Fruit & Nut Bars,05/24/2023,7337.25,380
,,Jan Morforth,UK ,Manuka Honey Choco,07/28/2023,9886.5,100
,,Oby Sorrel,New Zealand,Manuka Honey Choco,05/16/2023,1136.25,94
,,Dotty Strutley,Canada   ,Choco Coated Almonds,11/13/2023,8610.75,320
,,Van Tuxwell,India,Spicy Special Slims,10/20/2023,17448.75,308
,,Jehu Rudeforth,USA,Peanut Butter Cubes,11/20/2023,5904,433
,,Gigi Bohling,Australia  ,Mint Chip Choco,04/11/2023,256.5,51
,,Roddy Speechley,USA,Orange Choco,08/09/2023,6943.5,517
,,Rafaelita Blaksland,Australia,Spicy Special Slims,12/07/2023,393.75,82
,,Barr Faughny,UK ,Peanut Butter Cubes,01/04/2024,7130.25,163
,,Marney O'Breen,Canada   ,Smooth Silky Salty,11/14/2023,1154.25,614
,,Andria Kimpton,USA  ,Caramel Stuffed Bars,11/17/2023,3564,222
,,Karlen McCaffrey,USA  ,99% Dark & Pure,11/24/2023,9175.5,5
,,Kelci Walkden,USA   ,Spicy Special Slims,02/21/2024,11385,284
,,Kelci Walkden,India ,85% Dark Bars,04/13/2023,6790.5,490
,,Gunar Cockshoot,Canada ,White Choc,05/01/2023,2688.75,283
,,Karlen McCaffrey,UK   ,Spicy Special Slims,10/11/2023,7101,352
,,Brien Boise,Australia ,Organic Choco Syrup,08/30/2023,8084.25,319
,,Rafaelita Blaksland,India   ,Organic Choco Syrup,06/02/2023,6405.75,64
,,Camilla Castle,UK ,Spicy Special Slims,07/06/2023,877.5,423
,,Gunar Cockshoot,India,70% Dark Bites,11/13/2023,1750.5,130
,,Kelci Walkden,USA   ,White Choc,09/08/2023,6250.5,76
,,Kelci Walkden,Australia,Milk Bars,06/22/2023,8093.25,175
,,Wilone O'Kielt,USA  ,Eclairs,12/06/2023,5404.5,84
,,Oby Sorrel,New Zealand,Caramel Stuffed Bars,03/30/2023,488.25,324
,,Ches Bonnell,Canada,99% Dark & Pure,12/08/2023,6475.5,274
,,Camilla Castle,New Zealand  ,Drinking Coco,10/04/2023,7632,291
,,Curtice Advani,New Zealand  ,Choco Coated Almonds,06/06/2023,780.75,552
,,Beverie Moffet,India,Orange Choco,02/12/2024,1505.25,41
,,Andria Kimpton,New Zealand  ,99% Dark & Pure,05/26/2023,3021.75,274
,,Madelene Upcott,UK   ,99% Dark & Pure,10/13/2023,3537,165
,,Van Tuxwell,India  ,99% Dark & Pure,09/28/2023,589.5,148
,,Jehu Rudeforth,USA,Orange Choco,05/25/2023,1719,374
,,Beverie Moffet,Canada,Organic Choco Syrup,05/24/2023,425.25,145
,,Barr Faughny,USA  ,50% Dark Bites,02/21/2024,7710.75,1420
,,Madelene Upcott,UK   ,Peanut Butter Cubes,12/14/2023,11684.25,859
,,Kelci Walkden,UK   ,85% Dark Bars,07/03/2023,708.75,105
,,Camilla Castle,India ,Caramel Stuffed Bars,03/10/2023,2322,157
,,Dennison Crosswaite,UK,Almond Choco,09/21/2023,13092.75,284
,,Gigi Bohling,Canada  ,50% Dark Bites,07/13/2023,6457.5,178
,,Husein Augar,Australia,Smooth Silky Salty,07/26/2023,6036.75,806
,,Kaine Padly,India,Almond Choco,10/27/2023,3231,422
,,Roddy Speechley,India,Peanut Butter Cubes,12/22/2023,3116.25,28
,,Barr Faughny,Canada,Spicy Special Slims,12/11/2023,5937.75,90
,,Wilone O'Kielt,USA ,Drinking Coco,09/06/2023,5532.75,47
,,Mallorie Waber,Canada  ,White Choc,06/20/2023,6682.5,3
,,Beverie Moffet,Canada   ,Almond Choco,02/02/2023,7537.5,232
,,Camilla Castle,UK,Manuka Honey Choco,04/19/2023,5852.25,369
,,Barr Faughny,Australia ,White Choc,07/11/2023,9785.25,356
,,Curtice Advani,USA  ,Orange Choco,05/15/2023,128.25,125
,,Curtice Advani,Canada,Fruit & Nut Bars,07/24/2023,4576.5,798
,,Gunar Cockshoot,USA ,Organic Choco Syrup,02/13/2024,4259.25,389
,,Jan Morforth,India   ,White Choc,03/28/2023,2022.75,174
,,Kaine Padly,UK  ,After Nines,08/25/2023,2756.25,461
,,Gigi Bohling,Canada,After Nines,04/13/2023,10073.25,187
,,Madelene Upcott,Canada ,Peanut Butter Cubes,03/17/2023,7967.25,924
,,Jan Morforth,USA,Orange Choco,01/12/2024,5112,49
,,Barr Faughny,USA   ,Milk Bars,07/04/2023,1050.75,141
,,Marney O'Breen,UK,Milk Bars,08/17/2023,4875.75,227
,,Karlen McCaffrey,Australia   ,Choco Coated Almonds,10/02/2023,2331,132
,,Dennison Crosswaite,USA ,Eclairs,02/07/2024,1251,339
,,Wilone O'Kielt,UK,Baker's Choco Chips,08/31/2023,1728,149
,,Ches Bonnell,Canada   ,Peanut Butter Cubes,11/27/2023,5256,112
,,Jan Morforth,Canada  ,Organic Choco Syrup,08/17/2023,1374.75,32
,,Kelci Walkden,UK  ,Fruit & Nut Bars,05/24/2023,67.5,57
,,Ches Bonnell,India  ,Caramel Stuffed Bars,07/24/2023,3487.5,422
,,Rafaelita Blaksland,India   ,Caramel Stuffed Bars,05/08/2023,8471.25,479
,,Rafaelita Blaksland,Australia ,Smooth Silky Salty,09/19/2023,6864.75,131
,,Gunar Cockshoot,India  ,Choco Coated Almonds,01/17/2024,5962.5,262
,,Ches Bonnell,Canada ,Organic Choco Syrup,05/03/2023,3597.75,107
,,Gunar Cockshoot,UK ,Mint Chip Choco,12/12/2023,2254.5,529
,,Kaine Padly,USA   ,99% Dark & Pure,05/23/2023,10239.75,107
,,Ches Bonnell,USA ,Smooth Silky Salty,02/28/2023,10336.5,119
,,Jehu Rudeforth,USA  ,50% Dark Bites,04/13/2023,5114.25,1744
,,Beverie Moffet,Australia   ,Orange Choco,01/26/2024,6540.75,573
,,Van Tuxwell,Australia   ,Caramel Stuffed Bars,09/14/2023,10669.5,475
,,Marney O'Breen,New Zealand,Manuka Honey Choco,04/06/2023,7292.25,7
,,Van Tuxwell,USA  ,Smooth Silky Salty,01/02/2024,8156.25,88
,,Van Tuxwell,UK   ,Organic Choco Syrup,01/03/2024,5485.5,681
,,Dennison Crosswaite,UK   ,50% Dark Bites,12/12/2023,5393.25,52
,,Oby Sorrel,Canada ,White Choc,01/16/2024,7175.25,598
,,Gigi Bohling,New Zealand,Choco Coated Almonds,08/01/2023,2016,231
,,Van Tuxwell,New Zealand ,85% Dark Bars,04/06/2023,3134.25,94
,,Barr Faughny,Australia   ,99% Dark & Pure,06/28/2023,5199.75,304
,,Andria Kimpton,India  ,85% Dark Bars,04/27/2023,4081.5,554
,,Barr Faughny,India   ,Organic Choco Syrup,09/05/2023,1381.5,251
,,Camilla Castle,New Zealand   ,Fruit & Nut Bars,03/21/2023,909,125
,,Dennison Crosswaite,India   ,Almond Choco,08/22/2023,2076.75,171
,,Roddy Speechley,USA ,Mint Chip Choco,02/15/2023,380.25,102
,,Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,12/20/2023,1309.5,528
,,Roddy Speechley,India   ,Almond Choco,07/11/2023,3984.75,283
,,Jehu Rudeforth,USA,Choco Coated Almonds,04/10/2023,1417.5,182
,,Karlen McCaffrey,Australia   ,Fruit & Nut Bars,05/01/2023,10161,518
,,Ches Bonnell,India  ,Mint Chip Choco,01/12/2024,6475.5,377
,,Kelci Walkden,New Zealand   ,70% Dark Bites,10/06/2023,8388,413
,,Beverie Moffet,Australia  ,Peanut Butter Cubes,12/29/2023,8622,387
,,Gunar Cockshoot,India   ,Baker's Choco Chips,04/11/2023,5370.75,203
,,Curtice Advani,USA ,Raspberry Choco,04/27/2023,2641.5,227
,,Andria Kimpton,USA ,Drinking Coco,02/06/2023,7267.5,743
,,Rafaelita Blaksland,India   ,Raspberry Choco,12/08/2023,11598.75,619
,,Wilone O'Kielt,UK ,50% Dark Bites,03/02/2023,3696.75,952
,,Gunar Cockshoot,UK   ,White Choc,11/13/2023,5415.75,329
,,Oby Sorrel,India,Spicy Special Slims,05/05/2023,4214.25,269
,,Gunar Cockshoot,USA   ,Peanut Butter Cubes,03/20/2023,7681.5,699
,,Kaine Padly,New Zealand  ,70% Dark Bites,03/21/2023,3145.5,71
,,Jehu Rudeforth,Australia  ,Caramel Stuffed Bars,07/13/2023,11171.25,643
,,Brien Boise,India,Manuka Honey Choco,06/26/2023,4236.75,90
,,Marney O'Breen,Canada ,Organic Choco Syrup,11/13/2023,202.5,440
,,Oby Sorrel,India   ,Baker's Choco Chips,01/19/2024,3431.25,515
,,Wilone O'Kielt,Canada   ,After Nines,09/07/2023,8716.5,70
,,Wilone O'Kielt,Canada   ,Eclairs,03/14/2023,4414.5,12
,,Wilone O'Kielt,Australia ,Almond Choco,11/28/2023,3048.75,388
,,Gunar Cockshoot,UK   ,Spicy Special Slims,05/04/2023,6705,573
,,Karlen McCaffrey,Canada ,Choco Coated Almonds,12/25/2023,9137.25,63
,,Wilone O'Kielt,UK ,Drinking Coco,12/18/2023,4887,266
,,Karlen McCaffrey,UK,Baker's Choco Chips,02/19/2024,4171.5,240
,,Curtice Advani,UK ,50% Dark Bites,08/07/2023,7321.5,1388
,,Barr Faughny,USA   ,70% Dark Bites,04/14/2023,6765.75,396
,,Rafaelita Blaksland,New Zealand ,Choco Coated Almonds,03/24/2023,2742.75,413
,,Gunar Cockshoot,Canada,Drinking Coco,05/19/2023,5132.25,215
,,Madelene Upcott,Australia,Manuka Honey Choco,02/20/2024,4781.25,153
,,Gunar Cockshoot,USA,Choco Coated Almonds,06/06/2023,443.25,525
,,Husein Augar,India   ,50% Dark Bites,08/23/2023,1179,466
,,Jan Morforth,Australia  ,Manuka Honey Choco,02/07/2024,11623.5,7
,,Beverie Moffet,Canada,99% Dark & Pure,09/20/2023,317.25,174
,,Gunar Cockshoot,USA,Raspberry Choco,12/12/2023,7832.25,1338
,,Husein Augar,USA ,99% Dark & Pure,03/21/2023,12647.25,64
,,Wilone O'Kielt,New Zealand   ,Raspberry Choco,08/04/2023,6113.25,284
,,Marney O'Breen,UK   ,50% Dark Bites,11/14/2023,2.25,1250
,,Jehu Rudeforth,Canada,Peanut Butter Cubes,08/03/2023,5861.25,587
,,Gunar Cockshoot,New Zealand   ,85% Dark Bars,11/23/2023,3258,439
,,Madelene Upcott,New Zealand   ,Mint Chip Choco,10/27/2023,3404.25,390
,,Gigi Bohling,UK   ,Choco Coated Almonds,02/13/2023,175.5,800
,,Ches Bonnell,USA   ,Organic Choco Syrup,04/13/2023,2556,673
,,Jan Morforth,Australia  ,White Choc,08/31/2023,1219.5,409
,,Marney O'Breen,USA   ,After Nines,08/21/2023,9477,182
,,Wilone O'Kielt,New Zealand   ,Fruit & Nut Bars,06/08/2023,6547.5,514
,,Andria Kimpton,New Zealand  ,70% Dark Bites,04/10/2023,7647.75,157
,,Marney O'Breen,Australia ,Caramel Stuffed Bars,12/04/2023,2801.25,166
,,Barr Faughny,Canada  ,Smooth Silky Salty,08/04/2023,4720.5,888
,,Andria Kimpton,USA ,Almond Choco,07/18/2023,4979.25,67
,,Dotty Strutley,India  ,Spicy Special Slims,03/20/2023,12431.25,533
,,Curtice Advani,Australia  ,Almond Choco,03/06/2023,4821.75,60
,,Beverie Moffet,UK  ,After Nines,06/23/2023,1046.25,23
,,Beverie Moffet,Australia ,Drinking Coco,03/17/2023,1527.75,67
,,Camilla Castle,USA  ,Baker's Choco Chips,12/19/2023,1462.5,37
,,Rafaelita Blaksland,Australia  ,70% Dark Bites,02/27/2024,6705,38
,,Beverie Moffet,Canada,Mint Chip Choco,05/04/2023,5481,271
,,Rafaelita Blaksland,UK   ,Mint Chip Choco,07/17/2023,6455.25,601
,,Andria Kimpton,India  ,Smooth Silky Salty,08/17/2023,7746.75,447
,,Marney O'Breen,Australia   ,Manuka Honey Choco,05/04/2023,12523.5,135
,,Mallorie Waber,UK ,Organic Choco Syrup,10/10/2023,123.75,344
,,Kaine Padly,India,50% Dark Bites,02/24/2023,391.5,461
,,Husein Augar,New Zealand  ,Drinking Coco,04/06/2023,6104.25,999
,,Curtice Advani,USA,50% Dark Bites,10/12/2023,2738.25,1194
,,Jan Morforth,UK   ,Choco Coated Almonds,12/13/2023,6340.5,263
,,Madelene Upcott,USA   ,Choco Coated Almonds,06/08/2023,1584,72
,,Beverie Moffet,Canada   ,Manuka Honey Choco,12/15/2023,1239.75,92
,,Barr Faughny,Canada  ,Peanut Butter Cubes,08/01/2023,6615,778
,,Brien Boise,UK ,Caramel Stuffed Bars,04/13/2023,8763.75,322
,,Oby Sorrel,India,Orange Choco,08/21/2023,9186.75,254
,,Marney O'Breen,UK,Raspberry Choco,05/12/2023,6936.75,1537
,,Dennison Crosswaite,UK ,85% Dark Bars,01/30/2024,3105,125
,,Ches Bonnell,Canada,After Nines,02/02/2023,14105.25,628
,,Kelci Walkden,New Zealand  ,Eclairs,08/08/2023,279,508
,,Ches Bonnell,Australia,Caramel Stuffed Bars,09/15/2023,12564,226
,,Marney O'Breen,UK  ,Baker's Choco Chips,11/13/2023,4515.75,141
,,Ches Bonnell,New Zealand ,Milk Bars,04/11/2023,4110.75,380
,,Husein Augar,USA  ,85% Dark Bars,12/05/2023,4446,184
,,Van Tuxwell,Australia ,After Nines,11/02/2023,3728.25,249
,,Curtice Advani,Canada  ,Caramel Stuffed Bars,07/12/2023,33.75,632
,,Jan Morforth,UK  ,70% Dark Bites,04/06/2023,10005.75,124
,,Roddy Speechley,UK  ,Smooth Silky Salty,02/29/2024,5409,550
,,Dennison Crosswaite,Canada,Smooth Silky Salty,08/14/2023,15153.75,767
,,Mallorie Waber,New Zealand ,White Choc,06/15/2023,6943.5,209
,,Jehu Rudeforth,New Zealand ,White Choc,12/19/2023,5082.75,203
,,Kelci Walkden,New Zealand,Orange Choco,05/30/2023,1003.5,220
,,Madelene Upcott,USA ,After Nines,03/17/2023,5987.25,201
,,Jehu Rudeforth,New Zealand,Caramel Stuffed Bars,06/05/2023,7827.75,223
,,Karlen McCaffrey,Canada,50% Dark Bites,02/09/2024,3908.25,508
,,Barr Faughny,New Zealand  ,Fruit & Nut Bars,08/08/2023,4191.75,683
,,Andria Kimpton,UK,Organic Choco Syrup,07/27/2023,6693.75,15
,,Rafaelita Blaksland,India   ,After Nines,09/19/2023,4317.75,62
,,Karlen McCaffrey,Canada ,Mint Chip Choco,04/07/2023,9083.25,113
,,Dennison Crosswaite,Australia  ,Choco Coated Almonds,05/04/2023,3804.75,139
,,Beverie Moffet,Australia ,Smooth Silky Salty,01/10/2024,22081.5,552
,,Rafaelita Blaksland,Canada ,Raspberry Choco,10/24/2023,8680.5,1221
,,Curtice Advani,New Zealand,Caramel Stuffed Bars,01/12/2024,2193.75,641
,,Karlen McCaffrey,India   ,White Choc,08/08/2023,4308.75,311
,,Mallorie Waber,New Zealand  ,Spicy Special Slims,09/07/2023,10705.5,252
,,Husein Augar,Australia   ,99% Dark & Pure,08/28/2023,2826,452
,,Brien Boise,Australia   ,Raspberry Choco,01/01/2024,3397.5,84
,,Karlen McCaffrey,Australia   ,After Nines,02/29/2024,8525.25,37
,,Oby Sorrel,New Zealand   ,Choco Coated Almonds,02/08/2023,3321,604
,,Marney O'Breen,India  ,Fruit & Nut Bars,10/02/2023,9762.75,1032
,,Jan Morforth,UK  ,Eclairs,06/14/2023,5834.25,56
,,Wilone O'Kielt,UK ,White Choc,05/12/2023,2895.75,829
,,Jehu Rudeforth,USA  ,Milk Bars,09/11/2023,2117.25,134
,,Andria Kimpton,USA ,99% Dark & Pure,08/18/2023,7173,111
,,Dennison Crosswaite,New Zealand   ,Baker's Choco Chips,10/11/2023,7193.25,40
,,Andria Kimpton,New Zealand ,Manuka Honey Choco,03/14/2023,1534.5,247
,,Mallorie Waber,UK ,Spicy Special Slims,06/13/2023,792,116
,,Husein Augar,New Zealand,Peanut Butter Cubes,04/18/2023,4117.5,233
,,Curtice Advani,New Zealand  ,Orange Choco,02/24/2023,1235.25,313
,,Roddy Speechley,Canada   ,Manuka Honey Choco,06/01/2023,1462.5,319
,,Jan Morforth,Australia  ,Milk Bars,12/07/2023,553.5,275
,,Curtice Advani,India  ,Spicy Special Slims,08/23/2023,5593.5,17
,,Van Tuxwell,New Zealand ,Raspberry Choco,07/05/2023,10917,15
,,Dotty Strutley,Canada   ,Organic Choco Syrup,08/16/2023,5978.25,628
,,Camilla Castle,India  ,70% Dark Bites,07/12/2023,4027.5,2
,,Barr Faughny,USA,Choco Coated Almonds,10/02/2023,8131.5,187
,,Husein Augar,Canada   ,Eclairs,02/20/2023,3066.75,141
,,Husein Augar,Canada  ,Mint Chip Choco,06/06/2023,2304,251
,,Gunar Cockshoot,New Zealand,99% Dark & Pure,08/24/2023,9474.75,414
,,Gunar Cockshoot,Australia,Eclairs,07/27/2023,2065.5,51
,,Rafaelita Blaksland,USA  ,50% Dark Bites,03/06/2023,9407.25,2909
,,Jan Morforth,Canada  ,Eclairs,10/26/2023,3100.5,384
,,Brien Boise,USA  ,Raspberry Choco,02/28/2024,3003.75,382
,,Oby Sorrel,India  ,Organic Choco Syrup,01/15/2024,864,32
,,Van Tuxwell,India,Orange Choco,01/02/2024,301.5,325
